Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000238009,AL627309.1,0.0024732334769817063,-1.2266385425369188,0.1155939690940307,0.00695341444052062,1.513875587910949,0.04427129541551803,0.0,-0.5036208282957819,1.0
ENSG00000237491,AL669831.5,0.04063169283612804,-0.5545240927206816,0.13638881514179313,0.06001894569712535,0.5029872717682125,0.17508282052798574,0.05838850427889896,0.291908658365033,0.9223268027435484
ENSG00000177757,FAM87B,0.00035331906814024377,-2.3641420662868544,0.04591361832433449,0.003659691810800326,2.6513791116608836,0.017122188079348233,0.0,0.6663041731465302,1.0
ENSG00000225880,LINC00115,0.03568522588216462,-0.35122617840156956,0.42499765792656197,0.04391630172960391,0.2039201346896622,0.6726343704256448,0.06182312217765772,0.7047783209611667,0.5658124770739166
ENSG00000230368,FAM41C,0.013426124589329264,-0.11116132511698318,0.9308865283357504,0.015370705605361369,0.2606602431076004,0.6971390666057264,0.006869235797517525,-0.5036208282957819,1.0
ENSG00000230699,AL645608.3,0.0,-0.9047104476495562,1.0,0.0,-0.8080525069764128,1.0,0.0034346178987587623,5.251266673867687,0.2792910441461993
ENSG00000187634,SAMD11,0.00035331906814024377,1.0952895523504438,0.674185944140015,0.0,-0.8080525069764128,1.0,0.0,3.2512666738676863,1.0
ENSG00000188976,NOC2L,0.21234475995228652,0.1715622937473027,0.674185944140015,0.17310342265085543,-0.36845790345359086,0.27122022408197843,0.33315793617959993,0.7958555735060726,0.3377160033209357
ENSG00000187961,KLHL17,0.012012848316768288,-0.2989893867616038,0.6767939988272477,0.014272798062121271,0.1563235832928651,0.8782023068907103,0.020607707392552573,0.8491682302963408,0.6712219069574811
ENSG00000187583,PLEKHN1,0.006359743226524388,0.3432170657940281,0.7438853308385043,0.005123568535120456,-0.22309000625525677,0.9164092115254882,0.0034346178987587623,0.2068725545092338,1.0
ENSG00000187642,PERM1,0.0,-1.4896729483707123,0.79427945799542,0.0003659691810800326,0.19194749302358716,1.0,0.0034346178987587623,4.251266673867687,0.377805616279398
ENSG00000272512,AL645608.8,0.003533190681402438,-2.5113680194700327,4.120170664163173e-07,0.023422027589122086,2.513875587910949,1.477285674259452e-07,0.006869235797517525,-0.39258951590703806,1.0
ENSG00000188290,HES4,0.03815845935914633,-2.3508452436733966,2.62272706941231e-14,0.21006630993993872,2.3593656388553237,2.769116246965282e-15,0.06525774007641648,-0.8425469995350414,0.783369303561997
ENSG00000187608,ISG15,0.8726980983064021,-0.0983769026547119,0.8384910123870397,0.9789675593890872,0.22190825533663017,0.5381420078443886,0.5151926848138143,-0.839564328541034,0.6774160861949798
ENSG00000188157,AGRN,0.003533190681402438,-1.3521694246207794,0.040185222160639765,0.010247137070240912,1.464965987430003,0.016820888862915134,0.0034346178987587623,-0.034135544994561506,1.0
ENSG00000273443,AL645608.9,0.00035331906814024377,1.0952895523504438,0.674185944140015,0.0,-0.8080525069764128,1.0,0.0,3.2512666738676863,1.0
ENSG00000237330,RNF223,0.0,-0.9047104476495562,1.0,0.0,-0.8080525069764128,1.0,0.0034346178987587623,5.251266673867687,0.2792910441461993
ENSG00000131591,C1orf159,0.01766595340701219,-0.7868739573556986,0.0871498121435321,0.02781365776208248,0.3712711924681491,0.5041532193097896,0.05838850427889896,1.432506988537833,0.1895472477007476
ENSG00000223823,LINC01342,0.00035331906814024377,1.0952895523504438,0.674185944140015,0.0,-0.8080525069764128,1.0,0.0,3.2512666738676863,1.0
ENSG00000205231,TTLL10-AS1,0.0007066381362804875,0.09528955235044378,1.0,0.0,-2.1299806018637746,0.47610398136439275,0.006869235797517525,4.251266673867687,0.27704022685391433
ENSG00000162571,TTLL10,0.0024732334769817063,0.09528955235044378,1.0,0.0003659691810800326,-2.6154074290340166,0.04042445847303121,0.020607707392552573,3.8886965944829788,0.060842341847027095
ENSG00000186891,TNFRSF18,0.09398287212530484,3.4555457658969053,3.108367563307366e-20,0.002561784267560228,-4.962870616028517,2.8266940774408062e-27,0.06182312217765772,0.4011621043507456,0.840179670265227
ENSG00000186827,TNFRSF4,0.12048180223582314,3.120824644457581,5.138701912055327e-21,0.0021958150864801957,-5.559118298187473,5.209669567764189e-36,0.12021162645655668,0.978248179461271,0.2830616074998891
ENSG00000078808,SDF4,0.3042077176687499,-0.032749638173241724,1.0,0.3165633416342282,0.07672659523493497,0.8876590448802276,0.2610309603056659,-0.2359991529663359,1.0
ENSG00000176022,B3GALT6,0.07631691871829266,-0.09735552559195293,0.8758857375056193,0.08270903492408736,0.12367821700655801,0.7915183557432441,0.072126975873934,-0.08046459605003387,1.0
ENSG00000184163,C1QTNF12,0.003533190681402438,-0.030241329733416755,1.0,0.001829845905400163,-1.3105528475055959,0.27158363849978323,0.020607707392552573,3.058621595925291,0.1334196621978005
