Feature
1,ENSG00000153714
2,ENSG00000108849
3,ENSG00000227803
4,ENSG00000278266
5,ENSG00000100167
6,ENSG00000149256
7,ENSG00000184661
8,ENSG00000118492
9,ENSG00000229557
10,ENSG00000262619
11,ENSG00000115252
12,ENSG00000276488
13,ENSG00000281128
14,ENSG00000183733
15,ENSG00000197472
16,ENSG00000274191
17,ENSG00000165891
18,ENSG00000154277
19,ENSG00000205609
20,ENSG00000230753
21,ENSG00000236031
22,ENSG00000229770
23,ENSG00000087085
24,ENSG00000236833
25,ENSG00000187672
26,ENSG00000102230
27,ENSG00000276188
28,ENSG00000236546
29,ENSG00000285079
30,ENSG00000167701
31,ENSG00000228251
32,ENSG00000153157
33,ENSG00000116031
34,ENSG00000228412
35,ENSG00000115598
36,ENSG00000273402
37,ENSG00000168427
38,ENSG00000187857
39,ENSG00000255114
40,ENSG00000158104
41,ENSG00000164045
42,ENSG00000267503
43,ENSG00000205978
44,ENSG00000284678
45,ENSG00000276855
46,ENSG00000260177
47,ENSG00000231256
48,ENSG00000242791
49,ENSG00000237505
50,ENSG00000253238
51,ENSG00000214050
52,ENSG00000205923
53,ENSG00000275895
54,ENSG00000219435
55,ENSG00000236467
56,ENSG00000249639
57,ENSG00000189316
58,ENSG00000131771
59,ENSG00000232682
60,ENSG00000230749
61,ENSG00000259289
62,ENSG00000109794
63,ENSG00000224652
64,ENSG00000140538
65,ENSG00000251546
66,ENSG00000139734
67,ENSG00000256706
68,ENSG00000165555
69,ENSG00000260420
70,ENSG00000197245
71,ENSG00000143850
72,ENSG00000273258
73,ENSG00000104826
74,ENSG00000185133
75,ENSG00000153347
76,ENSG00000163485
77,ENSG00000233060
78,ENSG00000147488
79,ENSG00000180767
80,ENSG00000275542
81,ENSG00000185433
82,ENSG00000153132
83,ENSG00000133433
84,ENSG00000130208
85,ENSG00000185482
86,ENSG00000064225
87,ENSG00000259583
88,ENSG00000138172
89,ENSG00000242628
90,ENSG00000010379
91,ENSG00000246528
92,ENSG00000121207
93,ENSG00000120160
94,ENSG00000100373
95,ENSG00000072506
96,ENSG00000130202
97,ENSG00000276471
98,ENSG00000109113
99,ENSG00000278370
100,ENSG00000177706
101,ENSG00000173085
102,ENSG00000103066
103,ENSG00000261671
104,ENSG00000233901
105,ENSG00000168078
106,ENSG00000157240
107,ENSG00000096080
108,ENSG00000265750
109,ENSG00000141349
110,ENSG00000183160
111,ENSG00000259125
112,ENSG00000273090
113,ENSG00000213977
114,ENSG00000261327
115,ENSG00000101888
116,ENSG00000237980
117,ENSG00000115129
118,ENSG00000131148
119,ENSG00000180340
120,ENSG00000060558
121,ENSG00000136160
122,ENSG00000197798
123,ENSG00000148655
124,ENSG00000170142
125,ENSG00000224152
126,ENSG00000248663
127,ENSG00000273143
128,ENSG00000001036
129,ENSG00000101773
130,ENSG00000136522
131,ENSG00000186889
132,ENSG00000124313
133,ENSG00000170955
134,ENSG00000086598
135,ENSG00000163751
136,ENSG00000183527
137,ENSG00000013583
138,ENSG00000135617
