Feature,Normalized.Dispersion
ENSG00000238009,-1.1701720894104495
ENSG00000237491,0.7728954749635542
ENSG00000177757,-1.3912764393745802
ENSG00000225880,0.36124386958600513
ENSG00000230368,-1.1892035673771562
ENSG00000230699,nan
ENSG00000187634,nan
ENSG00000188976,1.4786335870094833
ENSG00000187961,0.22547874454906408
ENSG00000187583,0.26376521633491146
ENSG00000187642,nan
ENSG00000272512,-0.15751535141988918
ENSG00000188290,4.575564804965905
ENSG00000187608,5.116212692531015
ENSG00000188157,-1.3033655011125813
ENSG00000273443,nan
ENSG00000237330,nan
ENSG00000131591,1.8663887594407262
ENSG00000223823,nan
ENSG00000205231,7.364103240675616
ENSG00000162571,3.388022563730418
ENSG00000186891,2.7544116316706777
ENSG00000186827,1.2634516517317527
ENSG00000078808,-0.5938802668292732
ENSG00000176022,-0.3928607808604669
ENSG00000184163,4.65989598079997
ENSG00000260179,-1.2484642690851728
ENSG00000160087,-0.4730705579433008
ENSG00000230415,4.746037963461743
ENSG00000162572,1.1109128680349627
ENSG00000131584,4.162338051899034
ENSG00000169972,-1.7963193756636051
ENSG00000127054,-0.38508415740504126
ENSG00000224051,-0.19139987530290634
ENSG00000169962,0.16278373192242157
ENSG00000107404,-0.018629334734203022
ENSG00000162576,-0.4113333234091385
ENSG00000175756,-1.6002140240241847
ENSG00000221978,1.8487549591078791
ENSG00000242485,-1.4782105129979635
ENSG00000272455,1.3874979769194382
ENSG00000235098,-2.234025302922893
ENSG00000225285,nan
ENSG00000215915,-1.5361888534699053
ENSG00000160072,0.9839310205343234
ENSG00000197785,0.08644675775622467
ENSG00000205090,0.6322445955392086
ENSG00000160075,-1.1490776880674656
ENSG00000215014,1.5503064129118198
ENSG00000228594,-1.8547793690909025
ENSG00000272106,-1.00575805970455
ENSG00000197530,0.8078723936466432
ENSG00000189409,-0.17753896322842055
ENSG00000248333,1.541232915600801
ENSG00000272004,-1.153594002481498
ENSG00000189339,1.6253781985612135
ENSG00000008128,1.3753772904079984
ENSG00000215790,0.7396059809609759
ENSG00000008130,0.2282703923645469
ENSG00000078369,-1.0645910489552997
ENSG00000231050,-0.13048092844065
ENSG00000169885,nan
ENSG00000178821,0.7115023072772375
ENSG00000142609,0.8542732951735615
ENSG00000187730,0.39252741930818164
ENSG00000067606,1.3076572155942678
ENSG00000271806,2.3888094780182016
ENSG00000182873,0.38338546025747816
ENSG00000162585,-0.536691672313689
ENSG00000157933,1.2801284840139082
ENSG00000116151,0.056349539486486806
ENSG00000157916,-0.8150077138299847
ENSG00000157911,-0.9905543365789564
ENSG00000149527,2.5914071620856727
ENSG00000224387,6.179893855594724
ENSG00000157881,2.8789654155874067
ENSG00000197921,9.503262041870302
ENSG00000272449,0.08816656799578468
ENSG00000238164,-0.5865678266369074
ENSG00000157873,-0.8203040068830252
ENSG00000228037,-0.9171716307154117
ENSG00000157870,-0.4327856038620917
ENSG00000142606,-1.7386981076313834
ENSG00000215912,-0.3767310557901092
ENSG00000162591,4.627669510461573
ENSG00000238260,0.4508678897052728
ENSG00000158109,-1.5049084772991117
ENSG00000116213,-0.15973681355556543
ENSG00000078900,nan
ENSG00000235169,-0.8439344834660105
ENSG00000130764,0.3422277531100684
ENSG00000272153,nan
ENSG00000116198,-0.4225866213830365
ENSG00000169598,-0.8137117010210883
ENSG00000198912,-1.284175416991793
ENSG00000236423,-1.0452103858247808
ENSG00000284703,-1.3656692624693734
ENSG00000196581,-1.0071312396047802
ENSG00000236948,0.582357288427442
ENSG00000131697,-0.6481734470067075
ENSG00000069424,0.5658496743637208
ENSG00000116254,nan
ENSG00000116251,-1.1115057858355595
ENSG00000226944,nan
ENSG00000158286,0.27650165477812877
ENSG00000116237,-1.0224570670696385
ENSG00000225077,1.0283400759846206
ENSG00000158292,-0.5470743614205271
ENSG00000097021,-0.026339353184186336
ENSG00000271746,-0.5078923423325913
ENSG00000069812,0.6383107531035207
ENSG00000187017,0.05531696218329877
ENSG00000215788,4.0394569308340555
ENSG00000171680,1.7797683628230976
ENSG00000162408,0.5641337373695264
ENSG00000173662,nan
ENSG00000204859,1.9480935117757112
ENSG00000162413,-0.546239203040148
ENSG00000116273,0.4247416478492886
ENSG00000041988,-0.3914650531147371
ENSG00000007923,0.08261739645945407
ENSG00000228750,nan
ENSG00000284744,nan
ENSG00000237436,-0.6184478871392887
ENSG00000171735,-1.7001231237646266
ENSG00000270035,nan
ENSG00000049245,-1.2460306479480872
ENSG00000049246,0.546467626109873
ENSG00000236266,-0.8987987072867618
ENSG00000049247,-1.609076181368138
ENSG00000049249,-0.11966600013574517
ENSG00000116288,-1.09803605124056
ENSG00000284747,1.0117279827922725
ENSG00000284716,-0.022579590452382458
ENSG00000116285,-0.007145614564453977
ENSG00000238290,6.578387325916876
ENSG00000162426,0.1932122631078514
ENSG00000142599,1.6878146481413063
ENSG00000232912,0.1915685364193884
ENSG00000228423,nan
ENSG00000074800,-0.8657185127947497
ENSG00000230679,-0.28144638041254744
ENSG00000131686,2.071908499875696
ENSG00000197241,nan
ENSG00000142583,1.7746122471717218
ENSG00000180758,-0.3232054453454074
ENSG00000228526,nan
ENSG00000234546,nan
ENSG00000049239,0.8299010341476505
ENSG00000171621,-0.29530965682166854
ENSG00000284693,nan
ENSG00000171612,0.6740460043937133
ENSG00000188807,0.32756009879213316
ENSG00000171608,1.5846262327080824
ENSG00000179840,-1.090370243326338
ENSG00000231789,0.2791592370651189
ENSG00000171603,2.1151569274257698
ENSG00000178585,-1.6298184286909538
ENSG00000162441,-0.09051259237902169
ENSG00000173614,-0.7552732000590623
ENSG00000162444,3.459256521778235
ENSG00000130939,-0.691982158825124
ENSG00000054523,-0.5273106236355797
ENSG00000284735,5.946888319629515
ENSG00000284642,-1.2171539435137657
ENSG00000142657,-0.31470772395773283
ENSG00000271989,nan
ENSG00000251503,nan
ENSG00000175279,-0.7413986425999449
ENSG00000241563,nan
ENSG00000160049,-0.1384456982300333
ENSG00000203469,nan
ENSG00000142655,-0.6394591137599437
ENSG00000130940,-0.39330808777730225
ENSG00000272078,4.503975906202968
ENSG00000175262,-1.5005695007820365
ENSG00000120948,-0.4883705900447692
ENSG00000009724,3.1650196395688286
ENSG00000271895,0.6105958360777424
ENSG00000116649,-1.5030371291234512
ENSG00000171824,0.672816081956955
ENSG00000226849,-0.05657472130882897
ENSG00000230337,-0.2339155363694283
ENSG00000198793,1.1245504657882173
ENSG00000171819,nan
ENSG00000120942,-0.9529567565563347
